PDB_Number,Description,PDBFileLink,PaperDate,PageLink,FastaLink,Authors,Method,Resolution,OriginalIndex,noNucleotideEntities,hasMRNA,containsS12
5UYQ,"70S ribosome bound with near-cognate ternary complex base-paired to A site codon, closed 30S (Structure III-nc)",http://files.rcsb.org/download/5UYQ.cif.gz,(2017) Nature 546 113-117,http://www.rcsb.org/structure/5UYQ,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5UYQ&compressionType=uncompressed,"Loveland, A.B., Demo, G., Grigorieff, N., Korostelev, A.A.",ELECTRON MICROSCOPY,3.8,21,FALSE,TRUE,TRUE
5TCU,Methicillin sensitive Staphylococcus aureus 70S ribosome,http://files.rcsb.org/download/5TCU.cif.gz,(2017) MBio 8 ,http://www.rcsb.org/structure/5TCU,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5TCU&compressionType=uncompressed,"Eyal, Z., Ahmed, T., Belousoff, N., Mishra, S., Matzov, D., Bashan, A., Zimmerman, E., Lithgow, T., Bhushan, S., Yonath, A.",ELECTRON MICROSCOPY,3.9,22,FALSE,TRUE,TRUE
5U9F,3.2 A cryo-EM ArfA-RF2 ribosome rescue complex (Structure II),http://files.rcsb.org/download/5U9F.cif.gz,(2017) Elife 6 ,http://www.rcsb.org/structure/5U9F,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5U9F&compressionType=uncompressed,"Demo, G., Svidritskiy, E., Madireddy, R., Diaz-Avalos, R., Grant, T., Grigorieff, N., Sousa, D., Korostelev, A.A.",ELECTRON MICROSCOPY,3.2,23,FALSE,TRUE,TRUE
5U9G,3.2 A cryo-EM ArfA-RF2 ribosome rescue complex (Structure I),http://files.rcsb.org/download/5U9G.cif.gz,(2017) Elife 6 ,http://www.rcsb.org/structure/5U9G,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5U9G&compressionType=uncompressed,"Demo, G., Svidritskiy, E., Madireddy, R., Diaz-Avalos, R., Grant, T., Grigorieff, N., Sousa, D., Korostelev, A.A.",ELECTRON MICROSCOPY,3.2,24,FALSE,TRUE,TRUE
5H5U,Mechanistic insights into the alternative translation termination by ArfA and RF2,http://files.rcsb.org/download/5H5U.cif.gz,(2017) Nature 541 550-553,http://www.rcsb.org/structure/5H5U,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5H5U&compressionType=uncompressed,"Ma, C., Kurita, D., Li, N., Chen, Y., Himeno, H., Gao, N.",ELECTRON MICROSCOPY,3.01,25,FALSE,TRUE,TRUE
5M1J,Nonstop ribosomal complex bound with Dom34 and Hbs1,http://files.rcsb.org/download/5M1J.cif.gz,(2016) Nat Commun 7 13521-13521,http://www.rcsb.org/structure/5M1J,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5M1J&compressionType=uncompressed,"Hilal, T., Yamamoto, H., Loerke, J., Buerger, J., Mielke, T., Spahn, C.M.T.",ELECTRON MICROSCOPY,3.3,26,FALSE,TRUE,TRUE
5MC6,Cryo-EM structure of a native ribosome-Ski2-Ski3-Ski8 complex from S. cerevisiae,http://files.rcsb.org/download/5MC6.cif.gz,(2016) Science 354 1431-1433,http://www.rcsb.org/structure/5MC6,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5MC6&compressionType=uncompressed,"Schmidt, C., Kowalinski, E., Shanmuganathan, V., Defenouillere, Q., Braunger, K., Heuer, A., Pech, M., Namane, A., Berninghausen, O., Fromont-Racine, M., Jacquier, A., Conti,",ELECTRON MICROSCOPY,3.8,27,FALSE,TRUE,TRUE
5U4I,Structural Basis of Co-translational Quality Control by ArfA and RF2 Bound to Ribosome,http://files.rcsb.org/download/5U4I.cif.gz,(2017) Nature 541 554-557,http://www.rcsb.org/structure/5U4I,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5U4I&compressionType=uncompressed,"Zeng, F., Chen, Y., Remis, J., Shekhar, M., Phillips, J.C., Tajkhorshid, E., Jin, H.",ELECTRON MICROSCOPY,3.5,28,FALSE,TRUE,TRUE
5U4J,Structural Basis of Co-translational Quality Control by ArfA and RF2 Bound to Ribosome,http://files.rcsb.org/download/5U4J.cif.gz,(2017) Nature 541 554-557,http://www.rcsb.org/structure/5U4J,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5U4J&compressionType=uncompressed,"Zeng, F., Chen, Y., Remis, J., Shekhar, M., Phillips, J.C., Tajkhorshid, E., Jin, H.",ELECTRON MICROSCOPY,3.7,29,FALSE,TRUE,TRUE
5MDY,Structure of ArfA and TtRF2 bound to the 70S ribosome (pre-accommodated state),http://files.rcsb.org/download/5MDY.cif.gz,(2016) Science 354 1437-1440,http://www.rcsb.org/structure/5MDY,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5MDY&compressionType=uncompressed,"James, N.R., Brown, A., Gordiyenko, Y., Ramakrishnan, V.",ELECTRON MICROSCOPY,3.35,30,FALSE,TRUE,TRUE
5MDV,Structure of ArfA and RF2 bound to the 70S ribosome (accommodated state),http://files.rcsb.org/download/5MDV.cif.gz,(2016) Science 354 1437-1440,http://www.rcsb.org/structure/5MDV,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5MDV&compressionType=uncompressed,"James, N.R., Brown, A., Gordiyenko, Y., Ramakrishnan, V.",ELECTRON MICROSCOPY,2.97,31,FALSE,TRUE,TRUE
5MDW,Structure of ArfA(A18T) and RF2 bound to the 70S ribosome (pre-accommodated state),http://files.rcsb.org/download/5MDW.cif.gz,(2016) Science 354 1437-1440,http://www.rcsb.org/structure/5MDW,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5MDW&compressionType=uncompressed,"James, N.R., Brown, A., Gordiyenko, Y., Ramakrishnan, V.",ELECTRON MICROSCOPY,3.06,32,FALSE,TRUE,TRUE
5MDZ,Structure of the 70S ribosome (empty A site),http://files.rcsb.org/download/5MDZ.cif.gz,(2016) Science 354 1437-1440,http://www.rcsb.org/structure/5MDZ,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5MDZ&compressionType=uncompressed,"James, N.R., Brown, A., Gordiyenko, Y., Ramakrishnan, V.",ELECTRON MICROSCOPY,3.1,33,FALSE,TRUE,TRUE
5MGP,Structural basis for ArfA-RF2 mediated translation termination on stop-codon lacking mRNAs,http://files.rcsb.org/download/5MGP.cif.gz,(2017) Nature 541 546-549,http://www.rcsb.org/structure/5MGP,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5MGP&compressionType=uncompressed,"Huter, P., Mueller, C., Beckert, B., Arenz, S., Berninghausen, O., Beckmann, R., Wilson, N.D.",ELECTRON MICROSCOPY,3.1,34,FALSE,TRUE,TRUE
5JBH,Cryo-EM structure of a full archaeal ribosomal translation initiation complex in the P-IN conformation,http://files.rcsb.org/download/5JBH.cif.gz,(2016) Nat Commun 7 13366-13366,http://www.rcsb.org/structure/5JBH,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5JBH&compressionType=uncompressed,"COUREUX, P.-D., SCHMITT, E., MECHULAM, Y.",ELECTRON MICROSCOPY,5.34,35,FALSE,TRUE,TRUE
5JB3,Cryo-EM structure of a full archaeal ribosomal translation initiation complex in the P-REMOTE conformation,http://files.rcsb.org/download/5JB3.cif.gz,(2016) Nat Commun 7 13366-13366,http://www.rcsb.org/structure/5JB3,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5JB3&compressionType=uncompressed,"COUREUX, P.-D., SCHMITT, E., MECHULAM, Y.",ELECTRON MICROSCOPY,5.34,36,FALSE,TRUE,TRUE
5LZS,"Structure of the mammalian ribosomal elongation complex with aminoacyl-tRNA, eEF1A, and didemnin B",http://files.rcsb.org/download/5LZS.cif.gz,(2016) Cell 167 1229-1240.e15,http://www.rcsb.org/structure/5LZS,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5LZS&compressionType=uncompressed,"Shao, S., Murray, J., Brown, A., Taunton, J., Ramakrishnan, V., Hegde, R.S.",ELECTRON MICROSCOPY,3.31,37,FALSE,TRUE,TRUE
5LZT,Structure of the mammalian ribosomal termination complex with eRF1 and eRF3.,http://files.rcsb.org/download/5LZT.cif.gz,(2016) Cell 167 1229-1240.e15,http://www.rcsb.org/structure/5LZT,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5LZT&compressionType=uncompressed,"Shao, S., Murray, J., Brown, A., Taunton, J., Ramakrishnan, V., Hegde, R.S.",ELECTRON MICROSCOPY,3.65,38,FALSE,TRUE,TRUE
5LZU,Structure of the mammalian ribosomal termination complex with accommodated eRF1,http://files.rcsb.org/download/5LZU.cif.gz,(2016) Cell 167 1229-1240.e15,http://www.rcsb.org/structure/5LZU,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5LZU&compressionType=uncompressed,"Shao, S., Murray, J., Brown, A., Taunton, J., Ramakrishnan, V., Hegde, R.S.",ELECTRON MICROSCOPY,3.75,39,FALSE,TRUE,TRUE
5LZV,Structure of the mammalian ribosomal termination complex with accommodated eRF1(AAQ) and ABCE1.,http://files.rcsb.org/download/5LZV.cif.gz,(2016) Cell 167 1229-1240.e15,http://www.rcsb.org/structure/5LZV,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5LZV&compressionType=uncompressed,"Shao, S., Murray, J., Brown, A., Taunton, J., Ramakrishnan, V., Hegde, R.S.",ELECTRON MICROSCOPY,3.35,40,FALSE,TRUE,TRUE
5LZW,Structure of the mammalian rescue complex with Pelota and Hbs1l assembled on a truncated mRNA.,http://files.rcsb.org/download/5LZW.cif.gz,(2016) Cell 167 1229-1240.e15,http://www.rcsb.org/structure/5LZW,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5LZW&compressionType=uncompressed,"Shao, S., Murray, J., Brown, A., Taunton, J., Ramakrishnan, V., Hegde, R.S.",ELECTRON MICROSCOPY,3.53,41,FALSE,TRUE,TRUE
5LZX,Structure of the mammalian rescue complex with Pelota and Hbs1l assembled on a UGA stop codon.,http://files.rcsb.org/download/5LZX.cif.gz,(2016) Cell 167 1229-1240.e15,http://www.rcsb.org/structure/5LZX,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5LZX&compressionType=uncompressed,"Shao, S., Murray, J., Brown, A., Taunton, J., Ramakrishnan, V., Hegde, R.S.",ELECTRON MICROSCOPY,3.67,42,FALSE,TRUE,TRUE
5LZY,Structure of the mammalian rescue complex with Pelota and Hbs1l assembled on a polyadenylated mRNA.,http://files.rcsb.org/download/5LZY.cif.gz,(2016) Cell 167 1229-1240.e15,http://www.rcsb.org/structure/5LZY,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5LZY&compressionType=uncompressed,"Shao, S., Murray, J., Brown, A., Taunton, J., Ramakrishnan, V., Hegde, R.S.",ELECTRON MICROSCOPY,3.99,43,FALSE,TRUE,TRUE
5LZZ,Structure of the mammalian rescue complex with Pelota and Hbs1l (combined),http://files.rcsb.org/download/5LZZ.cif.gz,(2016) Cell 167 1229-1240.e15,http://www.rcsb.org/structure/5LZZ,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5LZZ&compressionType=uncompressed,"Shao, S., Murray, J., Brown, A., Taunton, J., Ramakrishnan, V., Hegde, R.S.",ELECTRON MICROSCOPY,3.47,44,FALSE,TRUE,TRUE
5LZA,"Structure of the 70S ribosome with SECIS-mRNA and P-site tRNA (Initial complex, IC)",http://files.rcsb.org/download/5LZA.cif.gz,(2016) Nature 540 80-85,http://www.rcsb.org/structure/5LZA,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5LZA&compressionType=uncompressed,"Fischer, N., Neumann, P., Bock, L.V., Maracci, C., Wang, Z., Paleskava, A., Konevega, A.L., Schroeder, G.F., Grubmueller, H., Ficner, R., Rodnina, M.V., Stark, H.",ELECTRON MICROSCOPY,3.6,45,FALSE,TRUE,TRUE
5LZB,Structure of SelB-Sec-tRNASec bound to the 70S ribosome in the initial binding state (IB),http://files.rcsb.org/download/5LZB.cif.gz,(2016) Nature 540 80-85,http://www.rcsb.org/structure/5LZB,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5LZB&compressionType=uncompressed,"Fischer, N., Neumann, P., Bock, L.V., Maracci, C., Wang, Z., Paleskava, A., Konevega, A.L., Schroeder, G.F., Grubmueller, H., Ficner, R., Rodnina, M.V., Stark, H.",ELECTRON MICROSCOPY,5.3,46,FALSE,TRUE,TRUE
5LZC,Structure of SelB-Sec-tRNASec bound to the 70S ribosome in the codon reading state (CR),http://files.rcsb.org/download/5LZC.cif.gz,(2016) Nature 540 80-85,http://www.rcsb.org/structure/5LZC,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5LZC&compressionType=uncompressed,"Fischer, N., Neumann, P., Bock, L.V., Maracci, C., Wang, Z., Paleskava, A., Konevega, A.L., Schroeder, G.F., Grubmueller, H., Ficner, R., Rodnina, M.V., Stark, H.",ELECTRON MICROSCOPY,4.8,47,FALSE,TRUE,TRUE
5LZD,Structure of SelB-Sec-tRNASec bound to the 70S ribosome in the GTPase activated state (GA),http://files.rcsb.org/download/5LZD.cif.gz,(2016) Nature 540 80-85,http://www.rcsb.org/structure/5LZD,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5LZD&compressionType=uncompressed,"Fischer, N., Neumann, P., Bock, L.V., Maracci, C., Wang, Z., Paleskava, A., Konevega, A.L., Schroeder, G.F., Grubmueller, H., Ficner, R., Rodnina, M.V., Stark, H.",ELECTRON MICROSCOPY,3.4,48,FALSE,TRUE,TRUE
5LZE,Structure of the 70S ribosome with Sec-tRNASec in the classical pre-translocation state (C),http://files.rcsb.org/download/5LZE.cif.gz,(2016) Nature 540 80-85,http://www.rcsb.org/structure/5LZE,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5LZE&compressionType=uncompressed,"Fischer, N., Neumann, P., Bock, L.V., Maracci, C., Wang, Z., Paleskava, A., Konevega, A.L., Schroeder, G.F., Grubmueller, H., Ficner, R., Rodnina, M.V., Stark, H.",ELECTRON MICROSCOPY,3.5,49,FALSE,TRUE,TRUE
5LZF,Structure of the 70S ribosome with fMetSec-tRNASec in the hybrid pre-translocation state (H),http://files.rcsb.org/download/5LZF.cif.gz,(2016) Nature 540 80-85,http://www.rcsb.org/structure/5LZF,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5LZF&compressionType=uncompressed,"Fischer, N., Neumann, P., Bock, L.V., Maracci, C., Wang, Z., Paleskava, A., Konevega, A.L., Schroeder, G.F., Grubmueller, H., Ficner, R., Rodnina, M.V., Stark, H.",ELECTRON MICROSCOPY,4.6,50,FALSE,TRUE,TRUE
5CZP,70S termination complex containing E. coli RF2,http://files.rcsb.org/download/5CZP.cif.gz,(2016) Cell Rep 17 11-18,http://www.rcsb.org/structure/5CZP,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5CZP&compressionType=uncompressed,"Hoffer, E.D., Dunham, C.M.",X-RAY DIFFRACTION,3.29996,51,FALSE,TRUE,TRUE
5LMN,Structure of bacterial 30S-IF1-IF3-mRNA translation pre-initiation complex (state-1A),http://files.rcsb.org/download/5LMN.cif.gz,(2016) Cell 167 133-144.e13,http://www.rcsb.org/structure/5LMN,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5LMN&compressionType=uncompressed,"Hussain, T., Llacer, J.L., Wimberly, B.T., Ramakrishnan, V.",ELECTRON MICROSCOPY,3.55,52,FALSE,TRUE,TRUE
5LMO,Structure of bacterial 30S-IF1-IF3-mRNA translation pre-initiation complex (state-1B),http://files.rcsb.org/download/5LMO.cif.gz,(2016) Cell 167 133-144.e13,http://www.rcsb.org/structure/5LMO,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5LMO&compressionType=uncompressed,"Hussain, T., Llacer, J.L., Wimberly, B.T., Ramakrishnan, V.",ELECTRON MICROSCOPY,4.3,53,FALSE,TRUE,TRUE
5LMP,Structure of bacterial 30S-IF1-IF3-mRNA translation pre-initiation complex (state-1C),http://files.rcsb.org/download/5LMP.cif.gz,(2016) Cell 167 133-144.e13,http://www.rcsb.org/structure/5LMP,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5LMP&compressionType=uncompressed,"Hussain, T., Llacer, J.L., Wimberly, B.T., Ramakrishnan, V.",ELECTRON MICROSCOPY,5.35,54,FALSE,TRUE,TRUE
5LMQ,"Structure of bacterial 30S-IF1-IF3-mRNA-tRNA translation pre-initiation complex, open form (state-2A)",http://files.rcsb.org/download/5LMQ.cif.gz,(2016) Cell 167 133-144.e13,http://www.rcsb.org/structure/5LMQ,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5LMQ&compressionType=uncompressed,"Hussain, T., Llacer, J.L., Wimberly, B.T., Ramakrishnan, V.",ELECTRON MICROSCOPY,4.2,55,FALSE,TRUE,TRUE
5LMR,Structure of bacterial 30S-IF1-IF3-mRNA-tRNA translation pre-initiation complex(state-2B),http://files.rcsb.org/download/5LMR.cif.gz,(2016) Cell 167 133-144.e13,http://www.rcsb.org/structure/5LMR,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5LMR&compressionType=uncompressed,"Hussain, T., Llacer, J.L., Wimberly, B.T., Ramakrishnan, V.",ELECTRON MICROSCOPY,4.45,56,FALSE,TRUE,TRUE
5LMS,Structure of bacterial 30S-IF1-IF3-mRNA-tRNA translation pre-initiation complex(state-2C),http://files.rcsb.org/download/5LMS.cif.gz,(2016) Cell 167 133-144.e13,http://www.rcsb.org/structure/5LMS,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5LMS&compressionType=uncompressed,"Hussain, T., Llacer, J.L., Wimberly, B.T., Ramakrishnan, V.",ELECTRON MICROSCOPY,5.1,57,FALSE,TRUE,TRUE
